# Tag name          ;  color
Untagged            ; #c0c0c0

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
      451365; id 504 ap25              ; Narrow FM           ;      10000; Untagged
      451863; орехово-борисово         ; Narrow FM           ;      10000; Untagged
    45258200; луцк,барановка           ; Narrow FM           ;      10000; Untagged
   118100500; Шереметьево Круг         ; AM                  ;      10000; Untagged
   118300600; Внуково Посадка          ; AM                  ;      10000; Untagged
   118600500; Домодедово-Посадка       ; AM                  ;      10000; Untagged
   120450600; Внуково Руление          ; AM                  ;      10000; Untagged
   122701300; Подход Северо-Запад      ; AM                  ;      10000; Untagged
   123400000; Подход Юг                ; AM                  ;      10000; Untagged
   125300100; Подход Восток            ; AM                  ;      10000; Untagged
   125500000; Контроль Запад           ; AM                  ;      10000; Untagged
   126000000; Внуково Круг             ; AM                  ;      10000; Untagged
   127199900; Подход Запад             ; AM                  ;      10000; Untagged
   127500300; Контроль Лениград 1      ; AM                  ;      10000; Untagged
   127700000; Домодедово Круг          ; AM                  ;      10000; Untagged
   128000200; Подход Юг                ; AM                  ;      10000; Untagged
   128800000; Контроль Киев-1          ; AM                  ;      10000; Untagged
   129800000; Подход Восток            ; AM                  ;      10000; Untagged
   131200800; Подход Восток            ; AM                  ;      10000; Untagged
   131675000; Аэрофлот-контроль        ; AM                  ;      10000; Untagged
   131850000; Внуково АТИС             ; AM                  ;      10000; Untagged
   135500100; Контроль                 ; AM                  ;      10000; Untagged
   433687500; репитер                  ; Narrow FM           ;      10000; Untagged
   433700000; репитер                  ; Narrow FM           ;      10000; Untagged
   440262500; мчс                      ; Narrow FM           ;      10000; Untagged
   442432800; мчс                      ; Narrow FM           ;      10000; Untagged
   443238500; мчс                      ; Narrow FM           ;      10000; Untagged
   451237500; dsd                      ; Narrow FM           ;      10000; Untagged
   451287800; dsd                      ; Narrow FM           ;      10000; Untagged
   451356500; южная                    ; Narrow FM           ;      10000; Untagged
   451364100; dsd                      ; Narrow FM           ;      10000; Untagged
   451563000; нагорная                 ; Narrow FM           ;      10000; Untagged
   451638500; dsd                      ; Narrow FM           ;      10000; Untagged
   451788700; казань                   ; Narrow FM           ;      10000; Untagged
   451862900; dsd                      ; Narrow FM           ;      10000; Untagged
   451951300; dsd                      ; Narrow FM           ;      10000; Untagged
   452062700; dsd                      ; Narrow FM           ;      10000; Untagged
   452288400; dsd                      ; Narrow FM           ;      10000; Untagged
   452312700; калязино                 ; Narrow FM           ;      10000; Untagged
   452419400; большая никитская        ; Narrow FM           ;      10000; Untagged
   452582000; кузьминки                ; Narrow FM           ;      10000; Untagged
   452650500; dsd                      ; Narrow FM           ;      10000; Untagged
   452662500; ДПС ЮАО                  ; Narrow FM           ;      10000; Untagged
   452844400; орехово-борисово         ; Narrow FM           ;      10000; Untagged
   453149900; dsd                      ; Narrow FM           ;      10000; Untagged
   453162500; dsd                      ; Narrow FM           ;      10000; Untagged
   453163700; dsd                      ; Narrow FM           ;      10000; Untagged
